,name,price,original_price,location,seller_name,brand,num_colors,rating_score,link_item,vouchers,categories
1559,Điện thoại di động S23 ultra điện thoại giá rẻ Sạc nhanh đt giá rẻ cho học sinh Camera 50MP điện thoại rẻ Mạng 4G điện thoại rẻ cho học sinh,1274588,2360348,Vietnam,Asro2g161,No Brand,4,,https://www.lazada.vn/products/dien-thoai-di-dong-ultra-dien-thoai-gia-re-sac-nhanh-dt-gia-recho-hoc-sinh-camera-50mp-dien-thoai-re-mang-4g-dien-thoai-recho-hoc-sinh-i2826899457.html,['Voucher save 46%'],"[4402, 4518]"
1560,"|CHÍNH HÃNG|  Điện thoai SAMSUNG GALAXY J7 PRIME ZIN MỚI, 32GB FULL CHỨC NĂNG SAMSUNG J7 Prime smartphone giá rẻ",949000,1399000,Vietnam,Hoàng Kim Plaza,Samsung,0,4.8,https://www.lazada.vn/products/chinh-hang-dien-thoai-samsung-galaxy-j7-prime-zin-moi-32gb-full-chuc-nang-samsung-j7-prime-smartphone-gia-re-i2826899071.html,['Voucher save 32%'],"[4402, 4518]"
1561,Mới 100% đien thoại giá rẻ nhất bản Quốc tế Điện thoại di động Mạng 4G đt giá rẻ cho học sinh Mới 100% điện thoại Bộ nhớ 16+512GB điện thoại rẻ,1192781,2208854,Vietnam,Asro2g161,No Brand,4,,https://www.lazada.vn/products/moi-100-dien-thoai-gia-renhat-ban-quoc-te-dien-thoai-di-dong-mang-4g-dt-gia-recho-hoc-sinh-moi-100-dien-thoai-bo-nho-16512gb-dien-thoai-re-i2826870479.html,['Voucher save 46%'],"[4402, 4518]"
1562,S23 ultra điện thoại Bản quốc tế điện thoại giá siêu rẻ Bộ nhớ 12+512GB điên thoại 6.7inch dt giá rẻ Pin Lớn 5600mAh điện thoại rẻ,1171244,2168970,Vietnam,Asro2g161,No Brand,4,,https://www.lazada.vn/products/s23-ultra-dien-thoai-ban-quoc-te-dien-thoai-gia-sieu-re-bo-nho-12512gb-dien-thoai-67inch-dt-gia-re-pin-lon-5600mah-dien-thoai-re-i2826850518.html,['Voucher save 46%'],"[4402, 4518]"
1563,Bộ nhớ 12+512GB điện thoại giá rẻ Chính Hãng Điện thoại phổ thông Android điện thoại giá siêu rẻ CPU Siêu điên thoại Thẻ 2 sim đien thoại giá rẻ nhất,1196886,2216456,Vietnam,Asro2g161,No Brand,4,,https://www.lazada.vn/products/bo-nho-12512gb-dien-thoai-gia-re-chinh-hang-dien-thoai-phothong-android-dien-thoai-gia-sieu-re-cpu-sieu-dien-thoai-the2-sim-dien-thoai-gia-renhat-i2826822674.html,['Voucher save 46%'],"[4402, 4518]"
1564,"điện thoai SAMSUNG GALAXY S8 PLUS ZIN MỚI, 64GB MÁY MỚI FULL CHỨC NĂNG.. HKP01....",1249000,1799000,Vietnam,Hoàng Kim Plaza,Samsung,0,5.0,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-plus-zin-moi-64gb-may-moi-full-chuc-nang-hkp01-i2826778248.html,['Voucher save 31%'],"[4402, 4518]"
1565,Điện thoại samsung j7prime zin cũ,700000,750000,Vietnam,GIA DỤNG GIÁ RẺ SAMVIVI,Samsung,0,,https://www.lazada.vn/products/dien-thoai-samsung-j7prime-zin-cu-i2826741972.html,['Voucher save 7%'],"[4402, 4518]"
1566,Điện thoại di động S23 ultra đt giá rẻ cho học sinh Bộ nhớ 16+512GB điện thoại giá rẻ Bản quốc tế điện thoại Mạng 4G điên thoại,1268554,2349174,Vietnam,Asro2g161,No Brand,4,,https://www.lazada.vn/products/dien-thoai-di-dong-ultra-dt-gia-recho-hoc-sinh-bo-nho-16512gb-dien-thoai-gia-re-ban-quoc-te-dien-thoai-mang-4g-dien-thoai-i2826730947.html,['Voucher save 46%'],"[4402, 4518]"
1567,Điện thoại di động Mạng 5G điện thoại rẻ Sạc nhanh đien thoại giá rẻ nhất bản Quốc tế S23 Ultra Camera 50+32MP Thẻ 2 sim điên thoại,1013975,1877731,Vietnam,Asro2g161,No Brand,4,,https://www.lazada.vn/products/dien-thoai-di-dong-mang-5g-dien-thoai-re-sac-nhanh-dien-thoai-gia-renhat-ban-quoc-te-ultra-camera-5032mp-the2-sim-dien-thoai-i2826724986.html,['Voucher save 46%'],"[4402, 4518]"
1568,"GIÁ RẺ điện thoai SAMSUNG GALAXY NOTE 8 ZIN MỚI, 64GB MÁY MỚI FULL CHỨC NĂNG.. HKP01 Samsung Note 8 điện thoại chính hãng giá rẻ",949000,1249000,Vietnam,Hoàng Kim Plaza,Samsung,0,5.0,https://www.lazada.vn/products/gia-re-dien-thoai-samsung-galaxy-note-8-zin-moi-64gb-may-moi-full-chuc-nang-hkp01-samsung-note-8-dien-thoai-chinh-hang-gia-re-i2826613958.html,['Voucher save 24%'],"[4402, 4518]"
