,name,price,original_price,location,seller_name,brand,num_colors,rating_score,link_item,vouchers,categories
317,"Dell G5 5590 Gaming Laptop, Core i7 97500H, 16GB Ram, 512GB SSD, 15.6inch FHD, VGA GTX 1660Ti, comes with a premium gift set",12000000,14000000,Vietnam,Laptop.Hadong,Dell,2,,https://www.lazada.vn/products/laptop-gaming-dell-g5-5590-core-i7-97500h-ram-16gb-ssd-512gb-156inch-fhd-vga-gtx-1660ti-tang-kem-bo-qua-tang-cao-cap-i2640568494.html,['Voucher save 14%'],"[4401, 4414, 6191]"
318,Laptop Macbook Air 15.3inch M3 8GB/256GB | 8GB/512GB | 16GB/512GB SSD [FUTUREWORLD-AAR],34340000,34340000,Vietnam,Futureworld - Apple Authorised Reseller,Apple,11,,https://www.lazada.vn/products/laptop-macbook-air-153inch-m3-8gb256gb-8gb512gb-16gb512gb-ssd-futureworld-aar-i2640464828.html,[],"[4401, 4414, 6191]"
319,"Laptop Asus TP500LNG, 15.6 inch, Cảm ứng, 2 in 1, Gập 360 độ, Ram 4gb, hdd 500gb, Win10Pro, máy khá lớn và đẹp, like new 95-97%",3600000,4700000,Vietnam,AT-COMPUTER ,No Brand,0,,https://www.lazada.vn/products/laptop-asus-tp500lng-156-inch-cam-ung-2-in-1-gap-360-do-ram-4gb-hdd-500gb-win10pro-may-kha-lon-va-dep-like-new-95-97-i2639189317.html,['Voucher save 23%'],"[4401, 4414, 6191]"
320,"VIOWQ Jonsbo pc gamer schrank 9cm gehäuse lüfter rgb cpu kühler kühler 12v/5v argb, unterstützung m/b pwm 4pin 2006-2018 rpm schwarz/weiß fr925 HFFDA",527636,596000,China,tixiuyanu26001,No Brand,2,,https://www.lazada.vn/products/viowq-jonsbo-nguoi-choi-game-tren-may-tinh-schrank-9cm-gehuse-lfter-rgb-cpu-khler-khler-12v5v-argb-untersttzung-mb-pwm-4pin-2006-2018-rpm-schwarzwei-fr925-hffda-i2638657332.html,['Voucher save 11%'],"[4401, 4414, 6191]"
321,[Cảm ứng 10 inch] Laptop panasonic CF-RZ5,3900000,4000000,Vietnam,GoodLady,Panasonic,0,,https://www.lazada.vn/products/cam-ung-10-inch-laptop-panasonic-cf-rz5-i2638495770.html,['Voucher save 3%'],"[4401, 4414, 6191]"
322,"UIVPB 75MM,T128010SU,GA81S2U,PLD08010S12HH,GPU Cooler,For GIGABYTE RX 5600 5700 6700 XT GAMING,GIGABYTE RTX2060 SUPER GAMING OC 8G MAPIE",290887,330000,China,rengzijw5,No Brand,13,,https://www.lazada.vn/products/uivpb-75mm-t128010su-ga81s2u-pld08010s12hh-gpu-mat-cho-gigabyte-rx-5600-5700-6700-xt-choi-game-gigabyte-rtx2060-sieu-choi-game-oc-8g-mapie-i2638124530.html,['Voucher save 12%'],"[4401, 4414, 6191]"
323,"Lenovo Legion Slim 5 Y7000P (2024) Laptop, Core i7-14650Hx, 16BG Ram, 1TB SSD, 16inch 2.5K 165Hz refresh rate, RTX 4050 6G, comes with a premium gift set",33500000,35500000,Vietnam,Laptop.Hadong,Lenovo,1,,https://www.lazada.vn/products/laptop-lenovo-legion-slim-5-y7000p-2024-core-i7-14650hx-ram-16bg-ssd-1tb-16inch-25k-tan-so-quet-165hzrtx-4050-6g-tang-kem-bo-qua-tang-cao-cap-i2635928956.html,['Voucher save 6%'],"[4401, 4414, 6191]"
324,PIQEB Graphics Card Holder /Video Card Bracket Support ASUS MSI GIGABYTE ASROCK 5V ARGB M/B AURA 3Pin/4Pin SYNC 275*50*8mm PIVBE,797511,892000,China,sangwanvcp13,No Brand,4,,https://www.lazada.vn/products/piqeb-do-hoa-do-dung-thevideo-card-gia-do-dien-thoai-may-tinh-bang-asus-msi-gigabyte-asrock-5v-argb-mb-aura-3pin4pin-sync-275508mm-pivbe-i2635638431.html,['Voucher save 11%'],"[4401, 4414, 6191]"
325,"QUYPV LIAN LI Metal Bracket Use For Single And Double Graphics Card GPU Video Card Holder Suit E-ATX ATX Motherboard,GB-001 APITV",736511,823000,China,vlno2,No Brand,1,,https://www.lazada.vn/products/amypv-lian-li-khung-kim-loai-su-dung-cho-card-do-hoa-don-va-doi-do-dung-the-video-gpu-phu-hop-voi-bo-mach-chu-atx-e-atx-gb-001-apitv-i2635552250.html,['Voucher save 11%'],"[4401, 4414, 6191]"
326,"Acer Predator Helios Neo PHN16-71-92WJ, Core i9-13900Hx, 16GB Ram, 1TB SSD, RTX 4060 8GB, 16inch 2.5k, 165Hz RGB Led, comes with a premium gift set",35700000,37700000,Vietnam,Laptop.Hadong,ACER,0,,https://www.lazada.vn/products/acer-predator-helios-neo-phn16-71-92wj-core-i9-13900hx-ram-16gb-ssd-1tbrtx-4060-8gb-16inch-25k-165hz-led-rgb-tang-kem-bo-qua-tang-cao-cap-i2635217291.html,['Voucher save 5%'],"[4401, 4414, 6191]"
